Show,Show.Number,YoN,Title,Artist,Year,JD,Hunter,Steve,Dave,YACHTSKI
BRC01,1,YACHT,Rosanna,Toto,1982,95,89,100,99,95.75
BRC01,1,YACHT,Beautiful People,Marc Jordan,1979,85,74,85,82,81.5
BRC01,1,YACHT,Waiting For Your Love,Toto,1982,86,82,79,68,78.75
BRC01,1,YACHT,Good For You,Toto,1982,47,61,64,55,56.75
BRC01,1,NYACHT,I Won't Hold You Back,Toto,1982,35,51,41,62,47.25
BRC01,1,NYACHT,We Made It,Toto,1982,46,47,45,38,44
BRC01,1,NYACHT,Lovers In The Night,Toto,1982,41,35,43,49,42
BRC01,1,NYACHT,It's A Feeling,Toto,1982,35,51,37,42,41.25
BRC01,1,NYACHT,Find It In Your Heart,Michael McDonald,2017,18,34,47,27,31.5
BRC01,1,NYACHT,Afraid Of Love,Toto,1982,37,31,28,30,31.5
BRC01,1,NYACHT,Brown-Eyed Girl,Van Morrison,1967,4,12,15,8,9.75
BYR02,2,NYACHT,Cannonball Run Theme,Chuck Mangione,1982,32,39,33,38,35.5
BYR04,4,YACHT,Nobody's Business,Maxus,1981,98,91,95,94,94.5
BYR05,5,NYACHT,I'll Wait,Van Halen,1984,33,45,50,30,39.5
BYR06,6,YACHT,Livin' It Up,Bill LaBounty,1982,87,88,92,84,87.75
BYR07,7,YACHT,Georgy Porgy,Toto,1978,59,78,77,72,71.5
BYR09,9,YACHT,Shame,Terence Boylan,1977,75,75,65,75,72.5
BYR10,10,YACHT,No Looking Back,Michael McDonald,1985,60,61,60,67,62
BYR10,10,YACHT,Rikki Don't Lose That Number,Steely Dan,1974,50,53,60,58,55.25
BYR10,10,YACHT,Love Will Keep Us Together,Captain & Tenille,1975,59,45,51,52,51.75
BYR10,10,NYACHT,I'd Really Love to See You Tonight,England Dan & John Ford Coley,1976,50,50,37,39,44
BYR10,10,NYACHT,Rich Girl,Hall & Oates,1977,38,46,28,36,37
BYR10,10,NYACHT,Escape (The Pina Colada Song),Rupert Holmes,1979,40,43,30,28,35.25
BYR10,10,NYACHT,Dream Weaver,Gary Wright,1975,40,40,24,25,32.25
BYR10,10,NYACHT,Southern Cross,"Crosby, Stills & Nash",1982,33,39,25,28,31.25
BYR10,10,NYACHT,Baker Street,Gerry Rafferty,1978,30,38,21,28,29.25
BYR10,10,NYACHT,Summer Breeze,Seals & Crofts,1972,12,41,15,19,21.75
BYR10,10,NYACHT,More Than This,Roxy Music,1982,15,20,20,17,18
BYR10,10,NYACHT,Afternoon Delight,Starland Vocal Band,1976,5,14,5,12,9
BYR10,10,NYACHT,Come Sail Away,Styx,1977,8,8,1,12,7.25
BYR11,11,YACHT,Living Inside Myself,Gino Vannelli,1981,55,59,62,51,56.75
BYR12,12,YACHT,I'll Be Over You,Toto,1986,50,53,56,68,56.75
BYR14,14,NYACHT,Down in Cancun,Victor Feldman,1982,47,52,52,48,49.75
BYR15,15,YACHT,Fool's Paradise,Randy Goodrum,1982,89,88,82,82,85.25
BYR16,16,YACHT,Runaway,Bill Champlin,1981,90,92,94,89,91.25
BYR18,18,YACHT,Mornin',Al Jarreau,1983,94,91,97,89,92.75
BYR19,19,YACHT,Woman,Dane Donohue,1978,82,83,79,82,81.5
BYR23,23,YACHT,Look What You've Done to Me,Boz Scaggs,1980,51,50,53,58,53
BYR24,24,YACHT,I Didn't Wanna Hurt Cha for Another Guy,"Chunky, Novi & Ernie",1977,62,65,60,63,62.5
BYR28,28,YACHT,Margarita,Marc Jordan,1983,91,90,84,78,85.75
BYR30,30,YACHT,Any World (That I'm Welcome To),Steely Dan,1975,60,54,64,59,59.25
BYR33,33,NYACHT,Hold On To Love,Jon Anderson,1988,53,46,48,49,49
BYR34,34,YACHT,One Hundred Ways,Quincy Jones,1981,64,76,75,70,71.25
BYR37,37,YACHT,Scene 29,JaR,2008,48,52,52,48,50
BYR38,38,YACHT,Tell Me What You Dream,Timothy B. Schmitt,1984,77,69,59,82,71.75
BYR40,40,YACHT,Something Special,QJones w/Patti Austin,1981,93,92,91,94,92.5
BYR40,40,YACHT,In the Way,Brothers Johnson,1981,86,91,90,89,89
BYR40,40,YACHT,After the Love Has Gone,"Earth, Wind & Fire",1979,87,81,100,85,88.25
BYR40,40,YACHT,A Women Needs Love (Just Like You Do),Ray Parker Jr.,1981,82,83,81,85,82.75
BYR40,40,YACHT,Jarreau,Brenda Russell,1983,90,74,84,67,78.75
BYR40,40,YACHT,Seeing Is Believing,Paulinho Da Costa,1979,74,73,68,64,69.75
